Location_ID,Sensing_DateTime,Sensing_Date,Sensing_Time,Direction_1,Direction_2,Total_of_Directions
54,2026-06-02T20:00:00+05:30,2026-06-03,00:30,3,3,6
61,2026-06-02T19:59:00+05:30,2026-06-03,00:29,1,0,1
61,2026-06-02T20:01:00+05:30,2026-06-03,00:31,2,0,2
66,2026-06-02T19:56:00+05:30,2026-06-03,00:26,3,0,3
66,2026-06-02T20:08:00+05:30,2026-06-03,00:38,1,1,2
107,2026-06-02T19:55:00+05:30,2026-06-03,00:25,0,2,2
108,2026-06-02T19:57:00+05:30,2026-06-03,00:27,0,2,2
108,2026-06-02T19:59:00+05:30,2026-06-03,00:29,0,2,2
108,2026-06-02T20:01:00+05:30,2026-06-03,00:31,1,0,1
131,2026-06-02T19:55:00+05:30,2026-06-03,00:25,2,0,2
131,2026-06-02T20:05:00+05:30,2026-06-03,00:35,1,0,1
132,2026-06-02T20:00:00+05:30,2026-06-03,00:30,4,2,6
132,2026-06-02T20:05:00+05:30,2026-06-03,00:35,2,1,3
134,2026-06-02T20:00:00+05:30,2026-06-03,00:30,4,5,9
134,2026-06-02T20:05:00+05:30,2026-06-03,00:35,3,0,3
135,2026-06-02T20:00:00+05:30,2026-06-03,00:30,0,1,1
143,2026-06-02T20:05:00+05:30,2026-06-03,00:35,0,2,2
162,2026-06-02T19:55:00+05:30,2026-06-03,00:25,13,3,16
162,2026-06-02T20:00:00+05:30,2026-06-03,00:30,0,4,4
162,2026-06-02T20:05:00+05:30,2026-06-03,00:35,4,0,4
165,2026-06-02T20:00:00+05:30,2026-06-03,00:30,1,0,1
166,2026-06-02T20:05:00+05:30,2026-06-03,00:35,1,0,1
181,2026-06-02T19:55:00+05:30,2026-06-03,00:25,1,5,6
181,2026-06-02T19:56:00+05:30,2026-06-03,00:26,2,4,6
181,2026-06-02T20:07:00+05:30,2026-06-03,00:37,1,1,2
181,2026-06-02T20:08:00+05:30,2026-06-03,00:38,1,1,2
3,2026-06-02T19:40:00+05:30,2026-06-03,00:10,0,1,1
3,2026-06-02T19:43:00+05:30,2026-06-03,00:13,3,3,6
3,2026-06-02T19:47:00+05:30,2026-06-03,00:17,1,0,1
3,2026-06-02T19:52:00+05:30,2026-06-03,00:22,0,3,3
4,2026-06-02T19:41:00+05:30,2026-06-03,00:11,3,1,4
4,2026-06-02T19:48:00+05:30,2026-06-03,00:18,5,1,6
4,2026-06-02T19:52:00+05:30,2026-06-03,00:22,0,5,5
5,2026-06-02T19:45:00+05:30,2026-06-03,00:15,7,2,9
6,2026-06-02T19:52:00+05:30,2026-06-03,00:22,1,0,1
21,2026-06-02T19:50:00+05:30,2026-06-03,00:20,6,5,11
36,2026-06-02T19:42:00+05:30,2026-06-03,00:12,1,0,1
36,2026-06-02T19:52:00+05:30,2026-06-03,00:22,0,1,1
37,2026-06-02T19:45:00+05:30,2026-06-03,00:15,1,1,2
41,2026-06-02T19:45:00+05:30,2026-06-03,00:15,2,1,3
41,2026-06-02T19:46:00+05:30,2026-06-03,00:16,4,7,11
41,2026-06-02T19:53:00+05:30,2026-06-03,00:23,2,5,7
42,2026-06-02T19:51:00+05:30,2026-06-03,00:21,1,0,1
42,2026-06-02T19:53:00+05:30,2026-06-03,00:23,3,0,3
45,2026-06-02T19:42:00+05:30,2026-06-03,00:12,0,3,3
45,2026-06-02T19:45:00+05:30,2026-06-03,00:15,0,1,1
45,2026-06-02T19:46:00+05:30,2026-06-03,00:16,1,1,2
47,2026-06-02T19:45:00+05:30,2026-06-03,00:15,1,3,4
54,2026-06-02T19:45:00+05:30,2026-06-03,00:15,2,7,9
59,2026-06-02T19:45:00+05:30,2026-06-03,00:15,8,2,10
61,2026-06-02T19:44:00+05:30,2026-06-03,00:14,1,1,2
61,2026-06-02T19:47:00+05:30,2026-06-03,00:17,2,0,2
61,2026-06-02T19:48:00+05:30,2026-06-03,00:18,4,0,4
61,2026-06-02T19:50:00+05:30,2026-06-03,00:20,1,0,1
66,2026-06-02T19:41:00+05:30,2026-06-03,00:11,4,3,7
66,2026-06-02T19:49:00+05:30,2026-06-03,00:19,0,2,2
84,2026-06-02T19:50:00+05:30,2026-06-03,00:20,4,3,7
107,2026-06-02T19:50:00+05:30,2026-06-03,00:20,3,0,3
108,2026-06-02T19:42:00+05:30,2026-06-03,00:12,1,0,1
108,2026-06-02T19:44:00+05:30,2026-06-03,00:14,2,1,3
108,2026-06-02T19:49:00+05:30,2026-06-03,00:19,3,2,5
108,2026-06-02T19:51:00+05:30,2026-06-03,00:21,2,2,4
131,2026-06-02T19:45:00+05:30,2026-06-03,00:15,0,1,1
133,2026-06-02T19:40:00+05:30,2026-06-03,00:10,0,4,4
134,2026-06-02T19:45:00+05:30,2026-06-03,00:15,3,9,12
167,2026-06-02T19:40:00+05:30,2026-06-03,00:10,0,1,1
179,2026-06-02T19:45:00+05:30,2026-06-03,00:15,1,1,2
181,2026-06-02T19:41:00+05:30,2026-06-03,00:11,4,5,9
181,2026-06-02T19:45:00+05:30,2026-06-03,00:15,2,1,3
181,2026-06-02T19:51:00+05:30,2026-06-03,00:21,1,4,5
184,2026-06-02T19:40:00+05:30,2026-06-03,00:10,0,7,7
185,2026-06-02T19:40:00+05:30,2026-06-03,00:10,3,9,12
209,2026-06-02T19:44:00+05:30,2026-06-03,00:14,0,1,1
209,2026-06-02T19:46:00+05:30,2026-06-03,00:16,0,1,1
209,2026-06-02T19:49:00+05:30,2026-06-03,00:19,0,2,2
2,2026-06-02T19:40:00+05:30,2026-06-03,00:10,1,0,1
2,2026-06-02T19:43:00+05:30,2026-06-03,00:13,0,2,2
9,2026-06-02T19:51:00+05:30,2026-06-03,00:21,0,1,1
9,2026-06-02T19:53:00+05:30,2026-06-03,00:23,0,1,1
11,2026-06-02T19:50:00+05:30,2026-06-03,00:20,0,1,1
19,2026-06-02T19:44:00+05:30,2026-06-03,00:14,1,2,3
19,2026-06-02T19:45:00+05:30,2026-06-03,00:15,0,3,3
19,2026-06-02T19:48:00+05:30,2026-06-03,00:18,4,0,4
19,2026-06-02T19:53:00+05:30,2026-06-03,00:23,1,3,4
19,2026-06-02T19:54:00+05:30,2026-06-03,00:24,1,0,1
20,2026-06-02T19:40:00+05:30,2026-06-03,00:10,1,1,2
20,2026-06-02T19:44:00+05:30,2026-06-03,00:14,1,2,3
20,2026-06-02T19:45:00+05:30,2026-06-03,00:15,0,2,2
20,2026-06-02T19:49:00+05:30,2026-06-03,00:19,2,0,2
23,2026-06-02T19:50:00+05:30,2026-06-03,00:20,1,1,2
